ID	GID	Allow	Title	Choice1	Consequence1	GID1	ID1	Allow1	Choice2	Consequence2	GID2	ID2	Allow2	
1	0	yes	Alarm.	Wake.	Quest.	1	1001		Snooze.	Snore.	0	2		
2	0	yes	Alarm.	Wake.	Quest.	1	1001		Snooze.	Snore.	0	3		
3	0	yes	Alarm.	Wake.	Quest.	1	1001		Snooze.	Snore.	0	4		
4	0	yes	Alarm.	Wake.	Quest.	1	1001		Snooze.	Snore.	0	5		
5	0	yes	Alarm.	Wake.	Quest.	1	1001		Snooze.	Snore.	0	1		
1001	1		Home.	Leave.	Forest.	2			Stay.	Cozy.				
1002	1	yes	Dog.	Pet.	Woof.			[1002]	Play.	Woof!		1003		
1003	1		Stick.	Throw.	Fetch.		1008		Pretend.	Woof?				
1004	1	yes	Coffee.	Drink.	Awake.		1005		Leave.	Bitter.				
1005	1		Coffee!	Drink!	Awake!!!!!		1006		Spill.	Hot!				
1006	1		Coffeee!!	Drink!!	Jittery.		1007		Spill.	Hot!				
1007	1		Coffeeee!!!	DRINK!!!!!!!!!!	Overdose.		1		NO!!!!	AWAKE!!!				
1008	1	yes	Newspaper.	Read.	Headline.		1009		Ignore.	Boring.				
1009	1		Warlock.	Where?	Tower.		1009		What?	Evil.		1001		
1010	1	EXIT	Home.	Leave.	Forest.	2			Stay.	Lazy.		1010		
1011	1	yes	Television.	Watch.	Cartoons.		1012		Boring.	Quest!				
1012	1		Television.	Watch.	Advertisement.		1013		Boring.	Quest!				
1013	1		Television.	Watch.	News.		1014		Boring.	Quest!				
1014	1		News.	Watch.	Warlock!		1015		Boring.	Quest!		1016		
1015	1		Evil!	Where?	Tower.		1016		Hero?	You?		1016		
1016	1		Television.	Watch.	Reruns.		1017		Quest!	Adventure!		1010		
1017	1		Television.	Watch.	Sitcoms.		1018		Boring.	Quest!				
1018	1		Television.	Watch.	News.		1019		Boring.	Quest!				
1019	1		Television.	Watch.	Advertisement.		1020		Boring.	Quest!				
1020	1		Television.	Watch.	Blockbuster.		1021		Boring.	Quest!				
1021	1		Television.	Watch.	Show.		1022		Boring.	Quest!				
1022	1		Television.	Watch.	Advertisement.		1024		Boring.	Quest!				
1024	1		Television.	Watch.	Asleep.		1		Boring.	Asleep.		1		
1025	1	yes	Plant.	Water.	Healthy.				Forget.	Dead.				
1026	1	yes	Breakfast.	Important.	Delicious.				Later.	Hungry.				
2001	2	yes	Raccoon.	Wrestle.	Rabies.		1		Bribe.	Deal.				
2002	2	yes	Stream.	Jump.	Slip.		1		Wade.	Wet.				
2003	2	yes	Berries.	Pick.	Fresh.			[2004, 6019]	Squish.	Juicy.				
2004	2		Hungry.	Berries.	Poisoned.		1		Later.	Tempting.			[2004]	
2005	2	yes	Bridge.	Over.	River.				Under.	Troll.		1		
2007	2	yes	Statue.	Admire.	Elegant.				Climb.	Fall.		1		
2009	2	EXIT	Dungeon.	Enter.	Scary.	4			Reconsider.	Coward.		2009		
2010	2	yes	Deer.	Watch.	Calm.			[2012]	Chase.	Gone.			[-2012]	
2012	2		Hunter.	Wave.	Distracted.				Join.	Hunt.		2013		
2013	2		Meat.	Cook.	Bitter?			[-2010]	Reject.	Vegetarian.			[-2010]	
2015	2	yes	Nest.	Search.	Eggs.		2016		Hide.	Protect.				
2016	2		Eggs.	Cook.	Omlette.				Paint.	Pretty.				
2017	2	yes	Hut.	Approach.	Small.		2018		Leave.	Privacy.				
2018	2		Bed.	Rest.	Lice.			[2020]	Push.	Secret!		2019		
2019	2		Magazine.	Inspect.	Lewd.		2019		Open.	Stuck.				
2020	2		Itching.	Scratch.	Relief.			[2020]	Ignore.	Suffering.				
2021	2	yes	Lake.	Swim.	Drown.		1		Fishing.	Boot.				
2022	2	yes	Beehive.	Watch.	Bzzz.				Honey?	Swarm.		1		
3001	2	yes	Flowers.	Pick.	Pretty.			[5019, -5020]	Smell.	Sweet.				
3002	2	yes	Stranger.	Greet.	Hello.		3003		Pickpocket.	Breadcrumbs.			[5050]	
3003	2		Conversation.	Insult.	Rude.				Compliment.	Smile.		3004		
3004	2		Conversation.	Chat.	Friend.			[6007]	Kiss?	Rejected.				
3005	2	yes	Music.	Follow.	Enchanting.		3008		Listen.	Mysterious.				
3008	2		Thicket.	Continue.	Deeper.		3010		Back.	Suspicious.				
3010	2		Music.	Chase.	Clearing.		3037		Back.	Lost.		1		
3011	2	yes	Map.	Fold.	Origami.				Study.	X		2009		
3012	2	yes	Road.	Examine.	Long.				Hitchhike.	Cart.		3013		
3013	2		Strangers.	Join.	Kidnapped.		1		Reject.	Wary.				
3015	2	yes	Sun.	Bathe.	Tan.				Stare.	Blind.		1		
3016	2	yes	Fog.	Avoid.	Creepy.				Enter.	Vast.		3017		
3017	2		Hazy.	Structure.	Dark.		3018		Deeper.	Lost.		1		
3018	2		Hut.	Enter.	Locked.		3019		Investigate.	Empty?		3018		
3019	2		Door.	Knock.	Nobody.		3020		Break.	Sturdy.		3019		
3020	2		Door.	Knock.	Nobody.		3021		Break.	Sturdy.		3020		
3021	2		Door.	Knock.	Somebody.		3022		Break.	Sturdy.		3021		
3022	2		Witch.	Run!	Melted!		1		Talk.	Welcome.		3033		
3033	2		Inside.	Sit?	Comfy.		3034		Tea?	Hot.		3034		
3034	2		Witch.	Talk.	Stories.		3034		Leave.	Trapped.		3035		
3035	2		Cackle.	Fight.	Zapped!		1		Flee.	Zapped!		1		
3036	2	yes	Well.	Pulley.	Broken.				Wish.	Hopeful.				
3037	2		Bard.	Watch.	Skillful.		3037		Approach.	Friendly.		3038		
3038	2		Perform?	Try.	Guitar.		3039		Decline.	Upset.		3040		
3039	2		Genre?	Jazz.	Upset.		3040		Classical.	Pleased.				
3040	2		Screams.	Help.	Transformation?!		3041		Apologise.	Transformation?!		3041		
3041	2		Demon!	Pray.	Doomed.		1		Pact?	No.		1		
3042	2	yes	Tree.	Hug.	Hippie.				Sit.	Sleepy.		3043		
3043	2		Darkness.	Fight.	Awake.		3042		Surrender.	Asleep.	3	3044		
3044	3		House.	Empty.	Sickness.		3046		Scary.	Obsession.		3046		
3046	3		Orphanage.	Cry.	Parents?		3047		Enter.	Dragged.		3047		
3047	3		Children.	No.	Faces.		3048		Avoid.	Closet.		3048		
3048	3		Toy.	Steal.	Hide!		3049		Break.	Grinning.		3049		
3049	3		Window.	Look.	Goodbye.		3050		Stone.	Broken.		3050		
3050	3		Fog.	Run.	Awake.	2	3051		Embrace.	Awake.	2	3051		
3051	2		Tree.	Sit.	Contemplate.				Hug.	Comfort.				
4001	4	EXIT	Exit.	Village.	Bright.	5			Rest.	Trapdoor!		4067		
4002	4	yes	Goblin.	Fight.	Wound.			[4003]	Flee.	Coward.			[4002]	
4003	4		Wound.	Tend.	Fail.		1		Ignore.	Persevere.				
4004	4	yes	Lever.	Up.	Click.		4005		Down.	Click.			[4027]	
4005	4		Arrow.	Duck.	Pierced.		1		Jump.	Wound.			[4003]	
4006	4	yes	Chest.	Open.	Moths.		4007		Kick.	Ouch.				
4007	4		Potion.	Examine.	Red.		4008		Drink.	Healthy.			[-4003]	
4008	4		Potion.	Drink.	Healthy.			[-4003]	Throw.	Shatter.				
4009	4	yes	Hole.	Down.	Narrow.		4011		Leave.	Spooky.				
4011	4		Hole.	Deeper.	Claustrophobic.		4012		Out.	Ominous.				
4012	4		Hole.	Continue.	Room.		4025		Out.	Stuck.		1		
4013	4	yes	Mushrooms.	Eat.	Funny.	12	4075		Ignore.	Hungry.				
4014	4	yes	Doors.	Left.	Open.		4022		Right.	Locked.		4015		
4015	4		Door.	Kick.	Open.		4016		Leave.	Mysterious.				
4016	4		Prisoner.	Free.	Running.		4020		Talk.	Weapon!		4017		
4017	4		Prisoner.	Free.	Running.		4020		Talk.	Warlock!		4018		
4018	4		Prisoner.	Free.	Running.		4020		Talk.	Aaagh!		4019		
4019	4		Prisoner.	Free.	Dead?				Talk.	Dead?				
4020	4		Prisoner.	Follow.	Fast.		4021		Ignore.	Insane.				
4021	4		Lost.	Backtrack.	Exit?				Search.	Glow.		4025		
4022	4		Ogre.	Talk.	Friendly.				Fight.	Crushed.		1		
4023	4	yes	Gem.	Take.	Cursed!		1		Leave.	Voices?				
4024	4	yes	Abyss.	Jump.	Fall.		1		Backtrack.	Smart.				
4025	4		Altar.	Examine.	Old.		4025		Pray.	Light!		4026		
4026	4		Mace.	Examine.	Magic.		4026		Take.	Destiny.		4028	[8011, -8002]	
4027	4		Passage.	Enter.	Room.		4025		Avoid.	Trap?				
4028	4		Exit.	Leave.	Village.	5			Rest.	Breathe.		4028		
4029	4	yes	Wire.	Touch.	Twang.		4030		Jump.	Cleared.				
4030	4		Boulder!	Run.	Rolling!		4031		Walk.	Crushed.		1		
4031	4		Run!	Straight.	Boulder!		4031		Side.	Safe.				
4032	4	yes	Chamber.	Search.	Mould.		4033		Ignore.	Boring.				
4033	4		Cough.	Heimlich.	Alone.		1		Suppress.	Sneeze.				
4034	4	yes	Troll.	Confront.	Huge.		4035		Entertain.	Sing.				
4035	4		Unfair.	Fight.	Lost.		1		Flee.	Chase!		4036		
4036	4		Curtain.	Hide.	Caught!		1		Run.	Escaped.				
4037	4	yes	Skeleton.	Touch.	Dusty.				Search.	Bones.		4038		
4038	4		Amulet.	Wear.	Cursed!		1		Smash.	Destroyed.				
4040	4	yes	Spider.	Squash.	Small.			[4041]	Examine.	Cute.				
4041	4		Spider.	Squash.	Giant!		4043		Examine.	Giant.		4043		
4042	4	yes	Button.	Push.	Trap!		1		Pull.	Impossible.				
4043	4		Eyes.	Look.	Beatuiful.		4044		Run!	Slow!		4048		
4044	4		Eyes.	Look.	Mesmerising.		4045		Run!	Slow!		4047		
4045	4		Eyes.	Look.	Hungry.		4046		Run!	Caught.		1		
4046	4		Pincers.	Look.	Pierced.		1		Run!	Caught.		1		
4047	4		Web.	Hack.	Cleared.		4048		Struggle.	Useless.		1		
4048	4		Spider.	Run!	Caught.		1		Fight.	Brave.		4049		
4049	4		Pincers.	Roll.	Dodge.		4050		Parry.	Eaten.		1		
4050	4		Belly.	Slice.	Wound.		4051		Pat.	Eaten.		1		
4051	4		Spider.	Talk.	Hungry.		1		Attack.	Battle.		4052		
4052	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4053		
4053	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4054		
4054	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4055		
4055	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4056		
4056	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4057		
4057	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4058		
4058	4		Attacking.	Head.	Eaten.		1		Legs.	Chop.		4059		
4059	4		Attacking.	Head.	Eaten.		1		Leg.	Chop.		4060		
4060	4		Attacking.	Head.	Chopped.		4061		Legs?	Yours.		1		
4061	4		Spider.	Kick.	Dead.		4061		Leave.	Victory!				
4062	4	yes	Urn.	Inspect.	Ribbit?		4064		Kick.	Smash.				
4063	4		Frog.	Kiss.	Princess.		4065		Throw.	Squishy.				
4064	4		Urn.	Leave.	Respect.				Open.	Frog!		4063		
4065	4		Princess.	Kiss.	Frog.		4063		Talk.	Grateful.		4066		
4066	4		Marry?	Yes.	Happy.		1		No.	Heartbroken.				
4067	4		Floor.	Head.	Splattered.		1		Feet.	Painful.		4068		
4068	4		Corridor.	Sneak.	Click.		4069		Run.	Fast.		4070		
4069	4		Spear!	Roll.	Dodged.		4070		Jump.	Pierced.		1		
4070	4		Light.	Leave.	Exit?		4071		Stay.	Dark.		4073		
4071	4		Room.	Search.	Bones.		4071		Leave.	Locked.		4072		
4072	4		Cell.	Starve.	Slow.		4072		Dehydrate.	Anguish.		1		
4073	4		Click!	Jump!	Spear.		1		Crouch!	Safe.		4074		
4074	4		Ladder.	Push.	Untrustworthy.		4027		Climb.	Breaks.		1		
4075	12		Dog.	Laugh.	Woof.		4076		Face.	Scary.		4076		
4076	12		Abyss.	Fly.	Floor.		1		Jump.	Weeeew.		4077		
4077	12		.lennuT	.edilS	.weeeeW		4078		.lloR	.weeeeW		4078		
4078	12		.worraN	.hcuorC	.ssergorP		4079		.lwarC	.ssergorP		4079		
4079	12		Hole.	Exit.	Wasteland.	6			Wait.	Sober.	4			
5000	5	yes	Chicken.	Hit.	Cluck!		5001		Feed.	Cluck.				
5001	5		Chicken.	Hit.	Cluck!		5002		Feed.	Cluck.				
5002	5		Peck.	Run.	Peck.		5003		Pet.	Peck.		5003		
5003	5		Peck.	Run!	Pecked.		1		Pet!	Pecked.		1		
5004	5	yes	Tavern.	Leave.	Sober.				Drink.	Drunk.	14	5005		
5005	14		Taven.	Leave.	Sober?	5			Drink!	Drunker.	15	5006		
5006	15		Tavrn.	Lave.	Sober!!!	5			Drik!	Drnk.		5007		
5007	15		Tav.	Love.	Pig!		5008		Drrrr.	Drk.		5007		
5008	15		Pig?	What?	Regret.	5			Water!	Sober?	5			
5009	5	EXIT	Road.	Wasteland.	Downpour.	9	9000		Prepare.	Courage.		5009		
5013	5	yes	Graveyard.	Enter.	Defiled.	16			Ignore.	Eerie.				
5015	5	yes	Elder.	Talk.	Wisdom.		5016		Bow.	Respectful.				
5016	5		Conversation.	Quest?	Dangerous.		5017		Evil?	Warlock.		5017		
5017	5		Warning.	Help?	Weapon.		5018		Ignore.	Fool.				
5018	5		Hidden.	Why?	Magic.				Where?	Dungeon.				
5019	16		Graves.	Investigate.	Empty.	5			Flowers.	Mother.	5			
5020	16	yes	Graves.	Investigate.	Empty.	5			Mourn.	Mother.	5			
5021	5	yes	Cat.	Play.	Ignored.				Stroke.	Purr.				
5022	5		Police.	Run.	Wanted.		5009		Surrender.	Jail.		1		
5023	5	yes	Market.	Shop.	Loot!		5024		Watch.	Bustling.				
5024	5		Mace.	Price?	Expensive.		5025		Buy!	Broke.		5024		
5025	5		Home.	Sell.	Rich.		5026		Keep.	Memories.				
5026	5		Mace.	Buy.	Happy.		5027		Haggle.	No.				
5027	5		Mace.	Inspect.	Fake.		5028		Swing.	Breaks.		5028		
5028	5		Merchant.	Refund!	No.		5029		Threaten.	Help!		5022		
5029	5		Merchant.	Threaten.	Help!		5022		Leave.	Conned.				
5030	5	yes	Church.	Pray.	Nothing.				Pay.	Blessed.				
5031	5	yes	Jugglers.	Watch.	Entertained.				Challenge.	Accepted!		5032		
5032	5		Balls?	Three.	Boring.		5033		Seven.	Many.		5034		
5033	5		Juggle.	Slow.	Booo!		5036		Fast.	Impressive.		5035		
5034	5		Juggle.	Slow.	Dropped.		5036		Fast.	Chaos.		5036		
5035	5		Winner!	Gloat.	Arrogant.				Bow.	Glamorous.				
5036	5		Loser!	Cry.	Pathetic.				Accept.	Sportsmanship.				
5037	5	yes	Guillotine.	Test.	Works.		1		Inspect.	Equaliser.				
5038	5	yes	Bakery.	Enter.	Nobody.		5039		Smell.	Good.				
5039	1		Cookie.	Eat.	Tasty.		5040		Leave.	Unhealthy.				
5040	1		Cookie.	Eat.	Tasty.		5041		Leave.	Unhealthy.				
5041	1		Cookie.	Eat.	Regret.		5042		Leave.	Unhealthy.				
5042	1		Baker!	Hide.	Quiet.		5045		Run.	Unfit.		5043		
5043	1		Caught.	Explain.	Furious.		5044		Fight.	Charge!		5044		
5044	1		Fist.	Duck.	Angry.		5046		Accept.	Face.		1		
